Name,Label,Canton_name
Buckten,6,Solothurn
Bulle,17,Fribourg
Bullet,20,Lausanne
Buochs,22,Wädenswil
Bure,14,Porrentruy
Burg (AG),3,Emmen
Burg im Leimental,6,Solothurn
Burgdorf,5,Bern
Burgistein,5,Bern
Bursinel,20,Lausanne
Bursins,20,Lausanne
Burtigny,20,Lausanne
Buseno,25,Lugano
Bussigny,20,Lausanne
Bussnang,19,Schaffhausen
Busswil bei Melchnau,3,Emmen
Bussy (FR),17,Fribourg
Bussy-Chardonney,20,Lausanne
Bussy-sur-Moudon,20,Lausanne
Buttisholz,3,Emmen
Buttwil,21,Aarau
Buus,2,Reinach (BL)
Bäretswil,22,Wädenswil
Bäriswil,5,Bern
Bärschwil,6,Solothurn
Bätterkinden,5,Bern
Bättwil,2,Reinach (BL)
Böbikon,21,Aarau
Böckten,2,Reinach (BL)
Bönigen,5,Bern
Bösingen,17,Fribourg
Böttstein,21,Aarau
Bözberg,21,Aarau
Bözen,21,Aarau
Büetigen,5,Bern
Bühl,5,Bern
Bühler,15,St. Gallen
Bülach,9,Winterthur
Bünzen,21,Aarau
Bürchen,7,Brig-Glis
Büren (SO),2,Reinach (BL)
Büren an der Aare (Urne commune),5,Bern
Bürglen (TG),19,Schaffhausen
Bürglen (UR),22,Wädenswil
Büron,3,Emmen
Büsserach,6,Solothurn
Bütschwil-Ganterschwil,19,Schaffhausen
Büttenhardt,19,Schaffhausen
Büttikon,21,Aarau
Cademario,25,Lugano
Cadempino,25,Lugano
Cadenazzo,25,Lugano
Calanca,25,Lugano
Cama,25,Lugano
Camorino,25,Lugano
Campo (Vallemaggia),25,Lugano
Canobbio,25,Lugano
Capriasca,25,Lugano
Carouge (GE),8,Genève
Carrouge (VD),17,Fribourg
Cartigny,8,Genève
Caslano,25,Lugano
Castaneda,25,Lugano
Castel San Pietro,25,Lugano
Casti-Wergenstein,11,Chur
Cazis,11,Chur
Celerina/Schlarigna,11,Chur
Centovalli,25,Lugano
Cerentino,25,Lugano
Cevio,25,Lugano
Chalais,7,Brig-Glis
Cham,3,Emmen
Chamblon,20,Lausanne
Chamoson,5,Bern
Champagne,20,Lausanne
Champoz,5,Bern
Champtauroz,20,Lausanne
Champvent,20,Lausanne
Champéry,7,Brig-Glis
Chancy,8,Genève
Chapelle (Glâne),17,Fribourg
Chardonne,17,Fribourg
Charrat,7,Brig-Glis
Chavannes-de-Bogis,8,Genève
Chavannes-des-Bois,8,Genève
Chavannes-le-Chêne,20,Lausanne
Chavannes-le-Veyron,20,Lausanne
Chavannes-près-Renens,20,Lausanne
Chavannes-sur-Moudon,17,Fribourg
Chavornay,20,Lausanne
Cheiry,20,Lausanne
Chermignon,5,Bern
Chesalles-sur-Moudon,20,Lausanne
Cheseaux-Noréaz,20,Lausanne
Cheseaux-sur-Lausanne,20,Lausanne
Chessel,17,Fribourg
Chevilly,20,Lausanne
Chevroux,17,Fribourg
Chexbres,17,Fribourg
Cheyres,20,Lausanne
Chiasso,25,Lugano
Chigny,20,Lausanne
Chippis,7,Brig-Glis
Choulex,8,Genève
Chur,11,Chur
Churwalden,11,Chur
Châbles,20,Lausanne
Château-d'Oex,17,Fribourg
Châtel-Saint-Denis,17,Fribourg
Châtel-sur-Montsalvens,17,Fribourg
Châtillon (FR),20,Lausanne
Châtillon (JU),14,Porrentruy
Châtonnaye,17,Fribourg
Chénens,17,Fribourg
Chéserex,20,Lausanne
Chésopelloz,17,Fribourg
Chêne-Bougeries,8,Genève
Chêne-Bourg,8,Genève
Chêne-Pâquier,20,Lausanne
Clarmont,20,Lausanne
Claro,25,Lugano
Clavaleyres (Urne commune),17,Fribourg
Clos du Doubs,14,Porrentruy
Coeuve,14,Porrentruy
Coinsins,20,Lausanne
Coldrerio,25,Lugano
Collex-Bossy,8,Genève
Collina d'Oro,25,Lugano
Collombey-Muraz,7,Brig-Glis
Collonge-Bellerive,8,Genève
Collonges,7,Brig-Glis
Cologny,8,Genève
Comano,25,Lugano
Commugny,8,Genève
Concise,23,Neuchâtel
Confignon,8,Genève
Conters im Prättigau,11,Chur
Conthey,7,Brig-Glis
Coppet,8,Genève
Corban,6,Solothurn
Corbeyrier,7,Brig-Glis
Corbières,17,Fribourg
Corcelles (BE),6,Solothurn
Corcelles-Cormondrèche,5,Bern
Corcelles-le-Jorat,20,Lausanne
Corcelles-près-Concise,20,Lausanne
Corcelles-près-Payerne,17,Fribourg
Corcelles-sur-Chavornay,20,Lausanne
Corgémont,5,Bern
Corippo,25,Lugano
Corminboeuf,17,Fribourg
Cormoret,5,Bern
Cornaux,23,Neuchâtel
Cornol,6,Solothurn
Corpataux-Magnedens,17,Fribourg
Corseaux,17,Fribourg
Corserey,17,Fribourg
Corsier (GE),8,Genève
Corsier-sur-Vevey,17,Fribourg
Cortaillod,23,Neuchâtel
Cortébert,5,Bern
Cossonay,20,Lausanne
Cottens (FR),17,Fribourg
Cottens (VD),20,Lausanne
Courchapoix,6,Solothurn
Courchavon,14,Porrentruy
Courgenay,14,Porrentruy
Courgevaux,17,Fribourg
Courlevon,17,Fribourg
Courrendlin,6,Solothurn
Courroux,6,Solothurn
Court,14,Porrentruy
Courtedoux,14,Porrentruy
Courtelary,5,Bern
Courtepin,17,Fribourg
Courtételle,5,Bern
Crans-près-Céligny,8,Genève
Crassier,8,Genève
Cremin,20,Lausanne
Cresciano,25,Lugano
Cressier (FR),17,Fribourg
Cressier (NE),23,Neuchâtel
Crissier,20,Lausanne
Croglio,25,Lugano
Cronay,20,Lausanne
Croy,20,Lausanne
Crémines,6,Solothurn
Crésuz,17,Fribourg
Cuarnens,20,Lausanne
Cuarny,20,Lausanne
Cudrefin,17,Fribourg
